categoria,n,acima_do_limiar,ferramenta,nivel,acertos,base,nao_se_aplica,taxa,wilson_inf,wilson_sup
CWE-094,14,sim,codeql,2e,7,14,0,0.5000,0.2680,0.7320
CWE-094,14,sim,codeql,3,4,14,0,0.2857,0.1172,0.5465
CWE-094,14,sim,codeql,4g,4,14,0,0.2857,0.1172,0.5465
CWE-094,14,sim,codeql,4e,4,14,0,0.2857,0.1172,0.5465
CWE-094,14,sim,semgrep,0,10,14,0,0.7143,0.4535,0.8828
CWE-094,14,sim,semgrep,1,5,14,0,0.3571,0.1634,0.6124
CWE-094,14,sim,semgrep,2g,1,14,0,0.0714,0.0127,0.3147
CWE-094,14,sim,semgrep,2e,0,14,0,0.0000,0.0000,0.2153
CWE-094,14,sim,semgrep,3,1,14,0,0.0714,0.0127,0.3147
CWE-094,14,sim,semgrep,4g,0,14,0,0.0000,0.0000,0.2153
CWE-094,14,sim,semgrep,4e,0,14,0,0.0000,0.0000,0.2153
CWE-094,14,sim,snyk-code,0,5,14,0,0.3571,0.1634,0.6124
CWE-094,14,sim,snyk-code,1,1,14,0,0.0714,0.0127,0.3147
CWE-094,14,sim,snyk-code,2g,0,14,0,0.0000,0.0000,0.2153
CWE-094,14,sim,snyk-code,2e,0,14,0,0.0000,0.0000,0.2153
CWE-094,14,sim,snyk-code,3,0,14,0,0.0000,0.0000,0.2153
CWE-094,14,sim,snyk-code,4g,0,14,0,0.0000,0.0000,0.2153
CWE-094,14,sim,snyk-code,4e,0,14,0,0.0000,0.0000,0.2153
CWE-116,9,nao,codeql,0,8,9,0,,,
CWE-116,9,nao,codeql,1,8,9,0,,,
CWE-116,9,nao,codeql,2g,8,9,0,,,
CWE-116,9,nao,codeql,2e,8,9,0,,,
CWE-116,9,nao,codeql,3,7,9,0,,,
CWE-116,9,nao,codeql,4g,7,9,0,,,
CWE-116,9,nao,codeql,4e,7,9,0,,,
CWE-116,9,nao,semgrep,0,9,9,0,,,
CWE-116,9,nao,semgrep,1,5,9,0,,,
CWE-116,9,nao,semgrep,2g,2,9,0,,,
CWE-116,9,nao,semgrep,2e,2,9,0,,,
CWE-116,9,nao,semgrep,3,3,9,0,,,
CWE-116,9,nao,semgrep,4g,2,9,0,,,
CWE-116,9,nao,semgrep,4e,2,9,0,,,
CWE-116,9,nao,snyk-code,0,8,9,0,,,
CWE-116,9,nao,snyk-code,1,3,9,0,,,
CWE-116,9,nao,snyk-code,2g,0,9,0,,,
CWE-116,9,nao,snyk-code,2e,0,9,0,,,
CWE-116,9,nao,snyk-code,3,1,9,0,,,
CWE-116,9,nao,snyk-code,4g,0,9,0,,,
CWE-116,9,nao,snyk-code,4e,0,9,0,,,
CWE-601,7,nao,codeql,0,7,7,0,,,
CWE-601,7,nao,codeql,1,5,7,0,,,
CWE-601,7,nao,codeql,2g,4,7,0,,,
CWE-601,7,nao,codeql,2e,3,7,0,,,
CWE-601,7,nao,codeql,3,4,7,0,,,
CWE-601,7,nao,codeql,4g,3,7,0,,,
CWE-601,7,nao,codeql,4e,3,7,0,,,
CWE-601,7,nao,semgrep,0,6,7,0,,,
CWE-601,7,nao,semgrep,1,3,7,0,,,
CWE-601,7,nao,semgrep,2g,0,7,0,,,
CWE-601,7,nao,semgrep,2e,0,7,0,,,
CWE-601,7,nao,semgrep,3,0,7,0,,,
CWE-601,7,nao,semgrep,4g,0,7,0,,,
CWE-601,7,nao,semgrep,4e,0,7,0,,,
CWE-601,7,nao,snyk-code,0,6,7,0,,,
CWE-601,7,nao,snyk-code,1,3,7,0,,,
CWE-601,7,nao,snyk-code,2g,1,7,0,,,
CWE-601,7,nao,snyk-code,2e,1,7,0,,,
CWE-601,7,nao,snyk-code,3,0,7,0,,,
CWE-601,7,nao,snyk-code,4g,0,7,0,,,
CWE-601,7,nao,snyk-code,4e,0,7,0,,,
CWE-020,6,nao,codeql,0,5,6,0,,,
CWE-020,6,nao,codeql,1,4,6,0,,,
CWE-020,6,nao,codeql,2g,4,6,0,,,
CWE-020,6,nao,codeql,2e,4,6,0,,,
CWE-020,6,nao,codeql,3,4,6,0,,,
CWE-020,6,nao,codeql,4g,4,6,0,,,
CWE-020,6,nao,codeql,4e,4,6,0,,,
CWE-020,6,nao,semgrep,0,5,6,0,,,
CWE-020,6,nao,semgrep,1,2,6,0,,,
CWE-020,6,nao,semgrep,2g,0,6,0,,,
CWE-020,6,nao,semgrep,2e,0,6,0,,,
CWE-020,6,nao,semgrep,3,0,6,0,,,
CWE-020,6,nao,semgrep,4g,0,6,0,,,
CWE-020,6,nao,semgrep,4e,0,6,0,,,
CWE-020,6,nao,snyk-code,0,3,6,0,,,
CWE-020,6,nao,snyk-code,1,0,6,0,,,
CWE-020,6,nao,snyk-code,2g,0,6,0,,,
CWE-020,6,nao,snyk-code,2e,0,6,0,,,
CWE-020,6,nao,snyk-code,3,0,6,0,,,
CWE-020,6,nao,snyk-code,4g,0,6,0,,,
CWE-020,6,nao,snyk-code,4e,0,6,0,,,
CWE-089,4,nao,codeql,0,4,4,0,,,
CWE-089,4,nao,codeql,1,1,4,0,,,
CWE-089,4,nao,codeql,2g,1,4,0,,,
CWE-089,4,nao,codeql,2e,1,4,0,,,
CWE-089,4,nao,codeql,3,1,4,0,,,
CWE-089,4,nao,codeql,4g,1,4,0,,,
CWE-089,4,nao,codeql,4e,1,4,0,,,
CWE-089,4,nao,semgrep,0,3,4,0,,,
CWE-089,4,nao,semgrep,1,0,4,0,,,
CWE-089,4,nao,semgrep,2g,0,4,0,,,
CWE-089,4,nao,semgrep,2e,0,4,0,,,
CWE-089,4,nao,semgrep,3,0,4,0,,,
CWE-089,4,nao,semgrep,4g,0,4,0,,,
CWE-089,4,nao,semgrep,4e,0,4,0,,,
CWE-089,4,nao,snyk-code,0,4,4,0,,,
CWE-089,4,nao,snyk-code,1,2,4,0,,,
CWE-089,4,nao,snyk-code,2g,0,4,0,,,
CWE-089,4,nao,snyk-code,2e,0,4,0,,,
CWE-089,4,nao,snyk-code,3,0,4,0,,,
CWE-089,4,nao,snyk-code,4g,0,4,0,,,
CWE-089,4,nao,snyk-code,4e,0,4,0,,,
CWE-770,4,nao,codeql,0,3,4,0,,,
CWE-770,4,nao,codeql,1,0,4,0,,,
CWE-770,4,nao,codeql,2g,0,4,0,,,
CWE-770,4,nao,codeql,2e,0,4,0,,,
CWE-770,4,nao,codeql,3,0,4,0,,,
CWE-770,4,nao,codeql,4g,0,4,0,,,
CWE-770,4,nao,codeql,4e,0,4,0,,,
CWE-770,4,nao,semgrep,0,4,4,0,,,
CWE-770,4,nao,semgrep,1,0,4,0,,,
CWE-770,4,nao,semgrep,2g,0,4,0,,,
CWE-770,4,nao,semgrep,2e,0,4,0,,,
CWE-770,4,nao,semgrep,3,0,4,0,,,
CWE-770,4,nao,semgrep,4g,0,4,0,,,
CWE-770,4,nao,semgrep,4e,0,4,0,,,
CWE-770,4,nao,snyk-code,0,4,4,0,,,
CWE-770,4,nao,snyk-code,1,0,4,0,,,
CWE-770,4,nao,snyk-code,2g,0,4,0,,,
CWE-770,4,nao,snyk-code,2e,0,4,0,,,
CWE-770,4,nao,snyk-code,3,0,4,0,,,
CWE-770,4,nao,snyk-code,4g,0,4,0,,,
CWE-770,4,nao,snyk-code,4e,0,4,0,,,
CWE-312,3,nao,codeql,0,3,3,0,,,
CWE-312,3,nao,codeql,1,2,3,0,,,
CWE-312,3,nao,codeql,2g,2,3,0,,,
CWE-312,3,nao,codeql,2e,2,3,0,,,
CWE-312,3,nao,codeql,3,2,3,0,,,
CWE-312,3,nao,codeql,4g,2,3,0,,,
CWE-312,3,nao,codeql,4e,2,3,0,,,
CWE-312,3,nao,semgrep,0,3,3,0,,,
CWE-312,3,nao,semgrep,1,0,3,0,,,
CWE-312,3,nao,semgrep,2g,0,3,0,,,
CWE-312,3,nao,semgrep,2e,0,3,0,,,
CWE-312,3,nao,semgrep,3,0,3,0,,,
CWE-312,3,nao,semgrep,4g,0,3,0,,,
CWE-312,3,nao,semgrep,4e,0,3,0,,,
CWE-312,3,nao,snyk-code,0,3,3,0,,,
CWE-312,3,nao,snyk-code,1,0,3,0,,,
CWE-312,3,nao,snyk-code,2g,0,3,0,,,
CWE-312,3,nao,snyk-code,2e,0,3,0,,,
CWE-312,3,nao,snyk-code,3,0,3,0,,,
CWE-312,3,nao,snyk-code,4g,0,3,0,,,
CWE-312,3,nao,snyk-code,4e,0,3,0,,,
CWE-730,3,nao,codeql,0,2,3,0,,,
CWE-730,3,nao,codeql,1,1,3,0,,,
CWE-730,3,nao,codeql,2g,0,3,0,,,
CWE-730,3,nao,codeql,2e,0,3,0,,,
CWE-730,3,nao,codeql,3,1,3,0,,,
CWE-730,3,nao,codeql,4g,0,3,0,,,
CWE-730,3,nao,codeql,4e,0,3,0,,,
CWE-730,3,nao,semgrep,0,3,3,0,,,
CWE-730,3,nao,semgrep,1,0,3,0,,,
CWE-730,3,nao,semgrep,2g,0,3,0,,,
CWE-730,3,nao,semgrep,2e,0,3,0,,,
CWE-730,3,nao,semgrep,3,0,3,0,,,
CWE-730,3,nao,semgrep,4g,0,3,0,,,
CWE-730,3,nao,semgrep,4e,0,3,0,,,
CWE-730,3,nao,snyk-code,0,3,3,0,,,
CWE-730,3,nao,snyk-code,1,2,3,0,,,
CWE-730,3,nao,snyk-code,2g,0,3,0,,,
CWE-730,3,nao,snyk-code,2e,0,3,0,,,
CWE-730,3,nao,snyk-code,3,0,3,0,,,
CWE-730,3,nao,snyk-code,4g,0,3,0,,,
CWE-730,3,nao,snyk-code,4e,0,3,0,,,
CWE-918,3,nao,codeql,0,2,3,0,,,
CWE-918,3,nao,codeql,1,2,3,0,,,
CWE-918,3,nao,codeql,2g,2,3,0,,,
CWE-918,3,nao,codeql,2e,2,3,0,,,
CWE-918,3,nao,codeql,3,2,3,0,,,
CWE-918,3,nao,codeql,4g,2,3,0,,,
CWE-918,3,nao,codeql,4e,2,3,0,,,
CWE-918,3,nao,semgrep,0,3,3,0,,,
CWE-918,3,nao,semgrep,1,1,3,0,,,
CWE-918,3,nao,semgrep,2g,1,3,0,,,
CWE-918,3,nao,semgrep,2e,1,3,0,,,
CWE-918,3,nao,semgrep,3,1,3,0,,,
CWE-918,3,nao,semgrep,4g,1,3,0,,,
CWE-918,3,nao,semgrep,4e,1,3,0,,,
CWE-918,3,nao,snyk-code,0,2,3,0,,,
CWE-918,3,nao,snyk-code,1,1,3,0,,,
CWE-918,3,nao,snyk-code,2g,1,3,0,,,
CWE-918,3,nao,snyk-code,2e,1,3,0,,,
CWE-918,3,nao,snyk-code,3,0,3,0,,,
CWE-918,3,nao,snyk-code,4g,0,3,0,,,
CWE-918,3,nao,snyk-code,4e,0,3,0,,,
CWE-200,2,nao,codeql,0,1,2,0,,,
CWE-200,2,nao,codeql,1,1,2,0,,,
CWE-200,2,nao,codeql,2g,0,2,0,,,
CWE-200,2,nao,codeql,2e,0,2,0,,,
CWE-200,2,nao,codeql,3,1,2,0,,,
CWE-200,2,nao,codeql,4g,0,2,0,,,
CWE-200,2,nao,codeql,4e,0,2,0,,,
CWE-200,2,nao,semgrep,0,2,2,0,,,
CWE-200,2,nao,semgrep,1,2,2,0,,,
CWE-200,2,nao,semgrep,2g,0,2,0,,,
CWE-200,2,nao,semgrep,2e,0,2,0,,,
CWE-200,2,nao,semgrep,3,1,2,0,,,
CWE-200,2,nao,semgrep,4g,0,2,0,,,
CWE-200,2,nao,semgrep,4e,0,2,0,,,
CWE-200,2,nao,snyk-code,0,2,2,0,,,
CWE-200,2,nao,snyk-code,1,0,2,0,,,
CWE-200,2,nao,snyk-code,2g,0,2,0,,,
CWE-200,2,nao,snyk-code,2e,0,2,0,,,
CWE-200,2,nao,snyk-code,3,0,2,0,,,
CWE-200,2,nao,snyk-code,4g,0,2,0,,,
CWE-200,2,nao,snyk-code,4e,0,2,0,,,
CWE-338,2,nao,codeql,0,1,2,0,,,
CWE-338,2,nao,codeql,1,1,2,0,,,
CWE-338,2,nao,codeql,2g,0,2,0,,,
CWE-338,2,nao,codeql,2e,0,2,0,,,
CWE-338,2,nao,codeql,3,0,2,0,,,
CWE-338,2,nao,codeql,4g,0,2,0,,,
CWE-338,2,nao,codeql,4e,0,2,0,,,
CWE-338,2,nao,semgrep,0,2,2,0,,,
CWE-338,2,nao,semgrep,1,0,2,0,,,
CWE-338,2,nao,semgrep,2g,0,2,0,,,
CWE-338,2,nao,semgrep,2e,0,2,0,,,
CWE-338,2,nao,semgrep,3,0,2,0,,,
CWE-338,2,nao,semgrep,4g,0,2,0,,,
CWE-338,2,nao,semgrep,4e,0,2,0,,,
CWE-338,2,nao,snyk-code,0,1,2,0,,,
CWE-338,2,nao,snyk-code,1,0,2,0,,,
CWE-338,2,nao,snyk-code,2g,0,2,0,,,
CWE-338,2,nao,snyk-code,2e,0,2,0,,,
CWE-338,2,nao,snyk-code,3,0,2,0,,,
CWE-338,2,nao,snyk-code,4g,0,2,0,,,
CWE-338,2,nao,snyk-code,4e,0,2,0,,,
CWE-352,2,nao,codeql,0,2,2,0,,,
CWE-352,2,nao,codeql,1,1,2,0,,,
CWE-352,2,nao,codeql,2g,0,2,0,,,
CWE-352,2,nao,codeql,2e,0,2,0,,,
CWE-352,2,nao,codeql,3,0,2,0,,,
CWE-352,2,nao,codeql,4g,0,2,0,,,
CWE-352,2,nao,codeql,4e,0,2,0,,,
CWE-352,2,nao,semgrep,0,2,2,0,,,
CWE-352,2,nao,semgrep,1,2,2,0,,,
CWE-352,2,nao,semgrep,2g,0,2,0,,,
CWE-352,2,nao,semgrep,2e,0,2,0,,,
CWE-352,2,nao,semgrep,3,0,2,0,,,
CWE-352,2,nao,semgrep,4g,0,2,0,,,
CWE-352,2,nao,semgrep,4e,0,2,0,,,
CWE-352,2,nao,snyk-code,0,2,2,0,,,
CWE-352,2,nao,snyk-code,1,2,2,0,,,
CWE-352,2,nao,snyk-code,2g,0,2,0,,,
CWE-352,2,nao,snyk-code,2e,0,2,0,,,
CWE-352,2,nao,snyk-code,3,0,2,0,,,
CWE-352,2,nao,snyk-code,4g,0,2,0,,,
CWE-352,2,nao,snyk-code,4e,0,2,0,,,
CWE-125,1,nao,codeql,0,1,1,0,,,
CWE-125,1,nao,codeql,1,0,1,0,,,
