cve,ferramenta,no_denominador,motivo_fora_denominador,status_campanha,tratado_presente,nivel_0,nivel_1,nivel_2_generosa,nivel_2_estrita,nivel_3,nivel_4_generosa,nivel_4_estrita,estrita_aplicavel,achados_no_arquivo_gt,distancia_min_linha,distancia_min_intervalo,gt_file_scanned,gt_cwe_primary,gt_cwes
CVE-2017-16034,codeql,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-078,CWE-078|CWE-088
CVE-2017-16034,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,2,36,36,true,CWE-078,CWE-078|CWE-088
CVE-2017-16034,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-078,CWE-078|CWE-088
CVE-2017-16042,codeql,true,,OK,true,true,true,true,true,false,false,false,true,24,7,7,true,CWE-078,CWE-078|CWE-088
CVE-2017-16042,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,1,269,269,true,CWE-078,CWE-078|CWE-088
CVE-2017-16042,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-078,CWE-078|CWE-088
CVE-2017-16043,codeql,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2017-16043,semgrep,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-079,CWE-079|CWE-116
CVE-2017-16043,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-079,CWE-079|CWE-116
CVE-2017-16082,codeql,true,,OK,true,true,true,true,true,true,true,true,true,3,0,0,true,CWE-116,CWE-116|CWE-020
CVE-2017-16082,semgrep,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-116,CWE-116|CWE-020
CVE-2017-16082,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-116,CWE-116|CWE-020
CVE-2017-16083,codeql,true,,OK,true,true,false,false,false,false,false,false,true,0,,,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16083,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,7,191,191,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16083,snyk-code,true,,OK,true,true,false,false,false,false,false,false,true,0,,,null,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16084,codeql,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16084,semgrep,true,,OK,true,true,true,false,false,false,false,false,true,1,15,15,true,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16084,snyk-code,true,,OK,true,true,true,false,false,true,false,false,true,5,2,0,null,CWE-022,CWE-022|CWE-023|CWE-036|CWE-073|CWE-099
CVE-2017-16087,codeql,true,,OK,true,true,true,true,true,false,false,false,true,1,88,88,true,CWE-078,CWE-078|CWE-088
CVE-2017-16087,semgrep,true,,OK,true,true,true,true,true,false,false,false,true,4,26,26,true,CWE-078,CWE-078|CWE-088
CVE-2017-16087,snyk-code,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,null,CWE-078,CWE-078|CWE-088
CVE-2017-16098,codeql,true,,OK,true,true,true,true,true,true,true,true,true,1,0,0,true,CWE-400,CWE-730|CWE-400
CVE-2017-16098,semgrep,true,,SEM_ACHADOS,true,false,false,false,false,false,false,false,true,0,,,true,CWE-400,CWE-730|CWE-400
