check_id,languages,js_ts
generic.visualforce.security.ncino.vf.xssfromunescapedurlparam.xss-from-unescaped-url-param,generic,nao
generic.visualforce.security.ncino.xml.cspheaderattribute.csp-header-attribute,generic,nao
generic.visualforce.security.ncino.xml.visualforceapiversion.visualforce-page-api-version,generic,nao
go.aws-lambda.security.database-sqli.database-sqli,go,nao
go.aws-lambda.security.tainted-sql-string.tainted-sql-string,go,nao
go.gorilla.security.audit.session-cookie-missing-httponly.session-cookie-missing-httponly,go,nao
go.gorilla.security.audit.session-cookie-missing-secure.session-cookie-missing-secure,go,nao
go.gorilla.security.audit.session-cookie-samesitenone.session-cookie-samesitenone,go,nao
go.gorilla.security.audit.websocket-missing-origin-check.websocket-missing-origin-check,go,nao
go.grpc.security.grpc-client-insecure-connection.grpc-client-insecure-connection,go,nao
go.grpc.security.grpc-server-insecure-connection.grpc-server-insecure-connection,go,nao
go.jwt-go.security.audit.jwt-parse-unverified.jwt-go-parse-unverified,go,nao
go.jwt-go.security.jwt-none-alg.jwt-go-none-algorithm,go,nao
go.jwt-go.security.jwt.hardcoded-jwt-key,go,nao
go.lang.security.audit.crypto.bad_imports.insecure-module-used,go,nao
go.lang.security.audit.crypto.insecure_ssh.avoid-ssh-insecure-ignore-host-key,go,nao
go.lang.security.audit.crypto.math_random.math-random-used,go,nao
go.lang.security.audit.crypto.missing-ssl-minversion.missing-ssl-minversion,go,nao
go.lang.security.audit.crypto.sha224-hash.sha224-hash,go,nao
go.lang.security.audit.crypto.ssl.ssl-v3-is-insecure,go,nao
go.lang.security.audit.crypto.tls.tls-with-insecure-cipher,go,nao
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-DES,go,nao
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-md5,go,nao
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-rc4,go,nao
go.lang.security.audit.crypto.use_of_weak_crypto.use-of-sha1,go,nao
go.lang.security.audit.crypto.use_of_weak_rsa_key.use-of-weak-rsa-key,go,nao
go.lang.security.audit.dangerous-command-write.dangerous-command-write,go,nao
go.lang.security.audit.dangerous-exec-cmd.dangerous-exec-cmd,go,nao
go.lang.security.audit.dangerous-exec-command.dangerous-exec-command,go,nao
go.lang.security.audit.dangerous-syscall-exec.dangerous-syscall-exec,go,nao
go.lang.security.audit.database.string-formatted-query.string-formatted-query,go,nao
go.lang.security.audit.md5-used-as-password.md5-used-as-password,go,nao
go.lang.security.audit.net.bind_all.avoid-bind-to-all-interfaces,go,nao
go.lang.security.audit.net.cookie-missing-httponly.cookie-missing-httponly,go,nao
go.lang.security.audit.net.cookie-missing-secure.cookie-missing-secure,go,nao
go.lang.security.audit.net.dynamic-httptrace-clienttrace.dynamic-httptrace-clienttrace,go,nao
go.lang.security.audit.net.formatted-template-string.formatted-template-string,go,nao
go.lang.security.audit.net.pprof.pprof-debug-exposure,go,nao
